,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
validation,0.06676746904850006,0.9739779364049319,0.9745163734897054,0.9768572229170969,42.383,363.589,10.122,4.0
test,0.06526609510183334,0.9729414054895854,0.9744327940806998,0.9757799087015374,39.4647,390.501,10.87,4.0
