step,val_eval_accuracy,val_eval_loss,test_eval_accuracy,test_eval_loss
200,0.8299156391953277,0.687163770198822,0.8343391084290442,0.676733672618866
400,0.9029201817001947,0.3420221507549286,0.9053273635714749,0.3357889652252197
600,0.9325113562621674,0.23622381687164307,0.9332295113879696,0.22946633398532867
800,0.9376378974691758,0.2124127745628357,0.9377068327817792,0.2088417112827301
1000,0.9524334847501622,0.16319721937179565,0.9529556810070728,0.15481989085674286
1200,0.9598312783906554,0.12752115726470947,0.9610018817727597,0.12147138267755508
1400,0.9592472420506165,0.12258367240428925,0.9604827720459412,0.12059483677148819
1600,0.9624918883841661,0.12074913829565048,0.9637920965544092,0.1144910529255867
1800,0.963530175210902,0.11359623819589615,0.963143209395886,0.1158847063779831
2000,0.9656067488643738,0.100089430809021,0.9665823113360587,0.0977688580751419
2200,0.9626216742375081,0.11166969686746597,0.961066770488612,0.11829379945993423
2400,0.9664503569110967,0.09783056378364563,0.9661280903250925,0.09586084634065628
2600,0.9656716417910448,0.0980442687869072,0.9656089805982739,0.09661567211151123
2800,0.9654120700843608,0.10069536417722702,0.9656089805982739,0.10052826255559921
3000,0.9680077871512005,0.10119238495826721,0.9674907533579911,0.10210225731134415
3200,0.9702141466580143,0.0889957994222641,0.9682694179482189,0.09200623631477356
3400,0.9698896820246593,0.09457365423440933,0.9687885276750373,0.09812308102846146
3600,0.9693705386112914,0.09141022711992264,0.9674258646421388,0.09699592739343643
3800,0.9691758598312784,0.09031984955072403,0.9679449743689572,0.0934467688202858
4000,0.9683322517845555,0.09097086638212204,0.9682694179482189,0.09247595071792603
4200,0.9700194678780013,0.08219887316226959,0.9694374148335605,0.08575064688920975
4400,0.9707981829980532,0.08742956817150116,0.9706054117189021,0.09063859283924103
4600,0.9713173264114211,0.08659392595291138,0.9713191875932775,0.08732469379901886
4800,0.9693056456846204,0.08204033225774765,0.9688534163908896,0.08497121185064316
5000,0.9713822193380921,0.08184488862752914,0.9704107455713451,0.08572325855493546
5200,0.9702790395846853,0.08469438552856445,0.9698916358445266,0.08857446163892746
5400,0.9705386112913692,0.0809883400797844,0.9705405230030497,0.08457024395465851
5600,0.9735885788449059,0.07573370635509491,0.9726169619103238,0.08045686781406403
5800,0.9735885788449059,0.07869788259267807,0.9722925183310622,0.08425368368625641
