step,val_accuracy,val_loss,test_accuracy,test_loss
200,0.8299156391953277,0.687163770198822,0.8343391084290442,0.676733672618866
400,0.9029201817001947,0.3420221507549286,0.9053273635714749,0.3357889652252197
600,0.9325113562621674,0.23622381687164307,0.9332295113879696,0.22946633398532867
800,0.9376378974691758,0.2124127745628357,0.9377068327817792,0.2088417112827301
1000,0.9524334847501622,0.16319721937179565,0.9529556810070728,0.15481989085674286
1200,0.9598312783906554,0.12752115726470947,0.9610018817727597,0.12147138267755508
1400,0.9592472420506165,0.12258367240428925,0.9604827720459412,0.12059483677148819
1600,0.9624918883841661,0.12074913829565048,0.9637920965544092,0.1144910529255867
1800,0.963530175210902,0.11359623819589615,0.963143209395886,0.1158847063779831
2000,0.9656067488643738,0.100089430809021,0.9665823113360587,0.0977688580751419
2200,0.9626216742375081,0.11166969686746597,0.961066770488612,0.11829379945993423
2400,0.9664503569110967,0.09783056378364563,0.9661280903250925,0.09586084634065628
2600,0.9656716417910448,0.0980442687869072,0.9656089805982739,0.09661567211151123
2800,0.9654120700843608,0.10069536417722702,0.9656089805982739,0.10052826255559921
3000,0.9680077871512005,0.10119238495826721,0.9674907533579911,0.10210225731134415
3200,0.9702141466580143,0.0889957994222641,0.9682694179482189,0.09200623631477356
3400,0.9698896820246593,0.09457365423440933,0.9687885276750373,0.09812308102846146
3600,0.9693705386112914,0.09141022711992264,0.9674258646421388,0.09699592739343643
3800,0.9691758598312784,0.09031984955072403,0.9679449743689572,0.0934467688202858
4000,0.9683322517845555,0.09097086638212204,0.9682694179482189,0.09247595071792603
4200,0.9700194678780013,0.08219887316226959,0.9694374148335605,0.08575064688920975
4400,0.9707981829980532,0.08742956817150116,0.9706054117189021,0.09063859283924103
4600,0.9713173264114211,0.08659392595291138,0.9713191875932775,0.08732469379901886
4800,0.9693056456846204,0.08204033225774765,0.9688534163908896,0.08497121185064316
5000,0.9713822193380921,0.08184488862752914,0.9704107455713451,0.08572325855493546
5200,0.9702790395846853,0.08469438552856445,0.9698916358445266,0.08857446163892746
5400,0.9705386112913692,0.0809883400797844,0.9705405230030497,0.08457024395465851
5600,0.9735885788449059,0.07573370635509491,0.9726169619103238,0.08045686781406403
5800,0.9735885788449059,0.07869788259267807,0.9722925183310622,0.08425368368625641
6000,0.9736534717715769,0.07700078189373016,0.9732009603529946,0.0791146457195282
6200,0.9718364698247891,0.08008681237697601,0.9715138537408344,0.08208959549665451
6400,0.9717066839714471,0.07755443453788757,0.9719031860359484,0.07793255150318146
6600,0.9718364698247891,0.07702196389436722,0.970800077866459,0.08001060038805008
6800,0.9720960415314731,0.07689522206783295,0.9714489650249821,0.08229118585586548
7000,0.9731343283582089,0.0804426521062851,0.972032963467653,0.08129700273275375
7200,0.9700843608046723,0.08336672186851501,0.9698267471286743,0.08439872413873672
7400,0.972290720311486,0.07217653840780258,0.9713191875932775,0.07568345218896866
7600,0.972485399091499,0.07535471022129059,0.971643631172539,0.08000800013542175
7800,0.9717715768981181,0.0789368525147438,0.9717085198883914,0.07963064312934875
8000,0.972874756651525,0.0707436054944992,0.9719031860359484,0.0758068636059761
8200,0.972290720311486,0.07319420576095581,0.9718382973200961,0.07866048067808151
8400,0.972744970798183,0.06962728500366211,0.9719031860359484,0.07567440718412399
8600,0.972809863724854,0.07204519212245941,0.9712542988774252,0.07702498883008957
8800,0.9719662556781311,0.0720679834485054,0.9711894101615729,0.07964368164539337
9000,0.972420506164828,0.07550908625125885,0.9710596327298683,0.08085465431213379
9200,0.972420506164828,0.07272171229124069,0.9713191875932775,0.07696321606636047
9400,0.97255029201817,0.07129571586847305,0.9715787424566867,0.07615409046411514
9600,0.972615184944841,0.06943997740745544,0.9725520731944715,0.07342837750911713
9800,0.9736534717715769,0.06837224960327148,0.9722925183310622,0.0764736756682396
10000,0.9734587929915639,0.06721735745668411,0.9722276296152099,0.07355648279190063
10200,0.9731992212848799,0.06916306167840958,0.9724222957627668,0.07211588323116302
10400,0.973069435431538,0.06890448182821274,0.9723574070469145,0.0749824270606041
10600,0.9731992212848799,0.06848412752151489,0.9719680747518007,0.07635439187288284
10800,0.9732641142115509,0.06866078823804855,0.9722276296152099,0.07295822352170944
11000,0.9748864373783258,0.06798894703388214,0.9743689572383363,0.07186799496412277
11200,0.9739779364049319,0.06769605726003647,0.9727467393420284,0.07357931137084961
11400,0.9739779364049319,0.0690385177731514,0.9726169619103238,0.07574043422937393
11600,0.9765087605451006,0.06668446213006973,0.9750178443968593,0.0726904571056366
11800,0.9743024010382868,0.06610458344221115,0.9723574070469145,0.07303311675786972
12000,0.9741077222582738,0.06700009107589722,0.9726169619103238,0.07275938987731934
12200,0.9741726151849448,0.06684835255146027,0.9730062942054377,0.07151222974061966
12400,0.9743024010382868,0.06655743718147278,0.9729414054895854,0.07188746333122253
12600,0.9741726151849448,0.06695463508367538,0.9729414054895854,0.07097067683935165
12800,0.9739779364049319,0.06720773130655289,0.9728765167737331,0.072576604783535
13000,0.9739779364049319,0.0671539306640625,0.9729414054895854,0.07232826203107834
13200,0.9741077222582738,0.0660175234079361,0.9730062942054377,0.07060831785202026
13400,0.9739779364049319,0.06617391109466553,0.9730062942054377,0.07033643871545792
13600,0.9739779364049319,0.06605780869722366,0.97307118292129,0.07025512307882309
13700,0.9739779364049319,0.06607642024755478,0.9729414054895854,0.07029533386230469
